Year,Value,Units,Series
1998,76.817814582913,PCT,GR_G14_GDP
1999,81.049491985742,PCT,GR_G14_GDP
2000,80.012825048647,PCT,GR_G14_GDP
2001,83.242296626777,PCT,GR_G14_GDP
2002,80.10113589192,PCT,GR_G14_GDP
2003,77.529655501164,PCT,GR_G14_GDP
2004,71.793949976889,PCT,GR_G14_GDP
2005,71.634452929648,PCT,GR_G14_GDP
2006,77.251876225828,PCT,GR_G14_GDP
2007,77.558469649858,PCT,GR_G14_GDP
2008,69.746481913731,PCT,GR_G14_GDP
2009,65.970815309642,PCT,GR_G14_GDP
2010,68.526464437987,PCT,GR_G14_GDP
2011,70.638975072216,PCT,GR_G14_GDP
2012,70.492903090017,PCT,GR_G14_GDP
2013,68.695696551372,PCT,GR_G14_GDP
2014,71.990945161009,PCT,GR_G14_GDP
2015,76.032629025835,PCT,GR_G14_GDP
2016,75.439459830625,PCT,GR_G14_GDP
2017,75.536476131853,PCT,GR_G14_GDP
2018,70.947764184972,PCT,GR_G14_GDP
2019,71.74043497236,PCT,GR_G14_GDP
2020,67.870488801946,PCT,GR_G14_GDP
2021,71.308135810378,PCT,GR_G14_GDP
2022,74.115954802072,PCT,GR_G14_GDP
1998,76.8178145829126,,
1999,81.0494919857417,,
2000,80.0128250486467,,
2001,83.2422966267773,,
2002,80.1011358919204,,
2003,77.5296555011642,,
2004,71.7939499768887,,
2005,71.6344529296479,,
2006,77.2518762258279,,
2007,77.5584696498581,,
2008,69.746481913731,,
2009,65.9708153096424,,
2010,68.5264644379871,,
2011,70.6389750722157,,
2012,70.492903090017,,
2013,68.6956965513722,,
2014,71.9909451610095,,
2015,76.0326290258353,,
2016,75.4394598306249,,
2017,75.5364761318532,,
2018,70.9477641849724,,
2019,71.7404349723596,,
2020,67.8704888019462,,
2021,71.308135810378,,
2022,74.115954802072,,
