Year,Value,Units,Series
2000,704.756831146922,Watt fyri hvønn íbúgva,Framleiðsluførið av varandi orku (watt fyri hvønn íbúgva)
2001,694.2318625092929,Watt fyri hvønn íbúgva,Framleiðsluførið av varandi orku (watt fyri hvønn íbúgva)
2002,682.311477875916,Watt fyri hvønn íbúgva,Framleiðsluførið av varandi orku (watt fyri hvønn íbúgva)
2003,713.2133719577951,Watt fyri hvønn íbúgva,Framleiðsluførið av varandi orku (watt fyri hvønn íbúgva)
2004,704.2415258218409,Watt fyri hvønn íbúgva,Framleiðsluførið av varandi orku (watt fyri hvønn íbúgva)
2005,740.556402359992,Watt fyri hvønn íbúgva,Framleiðsluførið av varandi orku (watt fyri hvønn íbúgva)
2006,740.756106414977,Watt fyri hvønn íbúgva,Framleiðsluførið av varandi orku (watt fyri hvønn íbúgva)
2007,741.032797601137,Watt fyri hvønn íbúgva,Framleiðsluførið av varandi orku (watt fyri hvønn íbúgva)
2008,739.628425260454,Watt fyri hvønn íbúgva,Framleiðsluførið av varandi orku (watt fyri hvønn íbúgva)
2009,737.002868759416,Watt fyri hvønn íbúgva,Framleiðsluførið av varandi orku (watt fyri hvønn íbúgva)
2010,735.613715250955,Watt fyri hvønn íbúgva,Framleiðsluførið av varandi orku (watt fyri hvønn íbúgva)
2011,736.926823228363,Watt fyri hvønn íbúgva,Framleiðsluførið av varandi orku (watt fyri hvønn íbúgva)
2012,991.863859387616,Watt fyri hvønn íbúgva,Framleiðsluførið av varandi orku (watt fyri hvønn íbúgva)
2013,996.0291885823581,Watt fyri hvønn íbúgva,Framleiðsluførið av varandi orku (watt fyri hvønn íbúgva)
2014,1239.97628631159,Watt fyri hvønn íbúgva,Framleiðsluførið av varandi orku (watt fyri hvønn íbúgva)
2015,1238.96184469031,Watt fyri hvønn íbúgva,Framleiðsluførið av varandi orku (watt fyri hvønn íbúgva)
2016,1220.44100485228,Watt fyri hvønn íbúgva,Framleiðsluførið av varandi orku (watt fyri hvønn íbúgva)
2017,1205.70388349515,Watt fyri hvønn íbúgva,Framleiðsluførið av varandi orku (watt fyri hvønn íbúgva)
2018,1118.3160415004,Watt fyri hvønn íbúgva,Framleiðsluførið av varandi orku (watt fyri hvønn íbúgva)
2019,1036.43549560533,Watt fyri hvønn íbúgva,Framleiðsluførið av varandi orku (watt fyri hvønn íbúgva)
2020,1150.1727291201,Watt fyri hvønn íbúgva,Framleiðsluførið av varandi orku (watt fyri hvønn íbúgva)
2021,1224.74651215979,Watt fyri hvønn íbúgva,Framleiðsluførið av varandi orku (watt fyri hvønn íbúgva)
2022,1200.85962562681,Watt fyri hvønn íbúgva,Framleiðsluførið av varandi orku (watt fyri hvønn íbúgva)
