Year,data.sex,data.age,Value
2015,,,3.3
2015,,data.15-24years,7.2
2015,,data.25-54years,2.6
2015,,data.55-74years,2.1
2015,data.male,,3.0
2015,data.male,data.15-24years,6.9
2015,data.male,data.25-54years,2.3
2015,data.male,data.55-74years,2.0
2015,data.female,,3.6
2015,data.female,data.15-24years,7.5
2015,data.female,data.25-54years,3.0
2015,data.female,data.55-74years,2.2
2016,,,3.5
2016,,data.15-24years,8.5
2016,,data.25-54years,2.6
2016,,data.55-74years,2.1
2016,data.male,,3.4
2016,data.male,data.15-24years,9.1
2016,data.male,data.25-54years,2.3
2016,data.male,data.55-74years,2.3
2016,data.female,,3.6
2016,data.female,data.15-24years,7.9
2016,data.female,data.25-54years,3.0
2016,data.female,data.55-74years,1.8
2017,,,2.5
2017,,data.15-24years,6.2
2017,,data.25-54years,1.9
2017,,data.55-74years,1.4
2017,data.male,,2.1
2017,data.male,data.15-24years,5.6
2017,data.male,data.25-54years,1.5
2017,data.male,data.55-74years,1.3
2017,data.female,,2.9
2017,data.female,data.15-24years,6.7
2017,data.female,data.25-54years,2.3
2017,data.female,data.55-74years,1.4
2018,,,1.8
2018,,data.15-24years,4.5
2018,,data.25-54years,1.4
2018,,data.55-74years,1.0
2018,data.male,,1.8
2018,data.male,data.15-24years,4.6
2018,data.male,data.25-54years,1.3
2018,data.male,data.55-74years,1.1
2018,data.female,,1.8
2018,data.female,data.15-24years,4.3
2018,data.female,data.25-54years,1.5
2018,data.female,data.55-74years,0.8
2019,,,1.3
2019,,data.15-24years,3.2
2019,,data.25-54years,1.0
2019,,data.55-74years,0.6
2019,data.male,,1.1
2019,data.male,data.15-24years,3.4
2019,data.male,data.25-54years,0.6
2019,data.male,data.55-74years,0.8
2019,data.female,,1.4
2019,data.female,data.15-24years,2.9
2019,data.female,data.25-54years,1.5
2019,data.female,data.55-74years,0.3
2020,,,1.7
2020,,data.15-24years,3.4
2020,,data.25-54years,1.5
2020,,data.55-74years,1.3
2020,data.male,,1.7
2020,data.male,data.15-24years,3.6
2020,data.male,data.25-54years,1.4
2020,data.male,data.55-74years,1.5
2020,data.female,,1.7
2020,data.female,data.15-24years,3.2
2020,data.female,data.25-54years,1.6
2020,data.female,data.55-74years,1.1
2021,,,2.1
2021,,data.15-24years,6.0
2021,,data.25-54years,1.4
2021,,data.55-74years,0.9
2021,data.male,,2.5
2021,data.male,data.15-24years,6.7
2021,data.male,data.25-54years,2.0
2021,data.male,data.55-74years,1.0
2021,data.female,,1.6
2021,data.female,data.15-24years,5.2
2021,data.female,data.25-54years,0.7
2021,data.female,data.55-74years,0.8
2022,,,2.0
2022,,data.15-24years,6.3
2022,,data.25-54years,1.2
2022,,data.55-74years,1.5
2022,data.male,,2.3
2022,data.male,data.15-24years,6.8
2022,data.male,data.25-54years,1.4
2022,data.male,data.55-74years,1.6
2022,data.female,,1.6
2022,data.female,data.15-24years,5.7
2022,data.female,data.25-54years,0.9
2022,data.female,data.55-74years,0.4
