Year,Units,Series,sex,Value
2015,pct.,Participation rate in organized learning for 6 year olds,,92.571428571429
2015,pct.,Participation rate in organized learning for 6 year olds,Males,92.91553133515
2015,pct.,Participation rate in organized learning for 6 year olds,Females,92.192192192192
2016,pct.,Participation rate in organized learning for 6 year olds,,93.082706766917
2016,pct.,Participation rate in organized learning for 6 year olds,Males,91.168091168091
2016,pct.,Participation rate in organized learning for 6 year olds,Females,95.222929936306
2017,pct.,Participation rate in organized learning for 6 year olds,,101.144492131617
2017,pct.,Participation rate in organized learning for 6 year olds,Males,106.779661016949
2017,pct.,Participation rate in organized learning for 6 year olds,Females,95.36231884058
2019,pct.,Participation rate in organized learning for 6 year olds,,99.572039942939
2019,pct.,Participation rate in organized learning for 6 year olds,Males,95.135135135135
2019,pct.,Participation rate in organized learning for 6 year olds,Females,104.531722054381
2020,pct.,Participation rate in organized learning for 6 year olds,,96.148555708391
2020,pct.,Participation rate in organized learning for 6 year olds,Males,95.800524934383
2020,pct.,Participation rate in organized learning for 6 year olds,Females,96.531791907514
2021,pct.,Participation rate in organized learning for 6 year olds,,99.588477366255
2021,pct.,Participation rate in organized learning for 6 year olds,Males,96.961325966851
2021,pct.,Participation rate in organized learning for 6 year olds,Females,102.179836512262
