Year,Sex,Age,Value
2009,,,3.8
2009,,00-17 years,4.7
2009,,18-24 years,4.7
2009,,25-54 years,3.4
2009,,55-66 years,3.8
2009,,67+ years,2.5
2009,"data.male,"",3.7
2009""","data.male,00-17years""",4.6
2009,"data.male,18-24years""",3.3,
2009,"data.male,25-54years""",3.3,
2009,"data.male,55-66years""",4.3,
2009,"data.male,67years""",2.7,
2009,Females,,4.0
2009,Females,00-17 years,4.8
2009,Females,18-24 years,6.4
2009,Females,25-54 years,3.6
2009,Females,55-66 years,3.2
2009,Females,67+ years,2.4
2010,,,3.6
2010,,00-17 years,4.7
2010,,18-24 years,4.4
2010,,25-54 years,3.3
2010,,55-66 years,3.3
2010,,67+ years,2.2
2010,"data.male,"",3.5
2010""","data.male,00-17years""",4.4
2010,"data.male,18-24years""",3.1,
2010,"data.male,25-54years""",3.2,
2010,"data.male,55-66years""",3.8,
2010,"data.male,67years""",2.3,
2010,Females,,3.8
2010,Females,00-17 years,5.0
2010,Females,18-24 years,5.9
2010,Females,25-54 years,3.4
2010,Females,55-66 years,2.7
2010,Females,67+ years,2.1
2011,,,3.9
2011,,00-17 years,5.2
2011,,18-24 years,5.5
2011,,25-54 years,3.6
2011,,55-66 years,3.2
2011,,67+ years,2.1
2011,"data.male,"",3.7
2011""","data.male,00-17years""",4.9
2011,"data.male,18-24years""",3.8,
2011,"data.male,25-54years""",3.4,
2011,"data.male,55-66years""",3.6,
2011,"data.male,67years""",2.0,
2011,Females,,4.2
2011,Females,00-17 years,5.5
2011,Females,18-24 years,7.5
2011,Females,25-54 years,3.7
2011,Females,55-66 years,2.7
2011,Females,67+ years,2.1
2012,,,4.2
2012,,00-17 years,5.5
2012,,18-24 years,6.0
2012,,25-54 years,3.7
2012,,55-66 years,3.3
2012,,67+ years,2.4
2012,"data.male,"",4.0
2012""","data.male,00-17years""",5.6
2012,"data.male,18-24years""",4.4,
2012,"data.male,25-54years""",3.5,
2012,"data.male,55-66years""",3.8,
2012,"data.male,67years""",2.6,
2012,Females,,4.3
2012,Females,00-17 years,5.5
2012,Females,18-24 years,8.0
2012,Females,25-54 years,4.0
2012,Females,55-66 years,2.8
2012,Females,67+ years,2.2
2013,,,4.2
2013,,00-17 years,5.8
2013,,18-24 years,5.6
2013,,25-54 years,3.8
2013,,55-66 years,3.2
2013,,67+ years,2.1
2013,"data.male,"",3.8
2013""","data.male,00-17years""",5.5
2013,"data.male,18-24years""",4.1,
2013,"data.male,25-54years""",3.3,
2013,"data.male,55-66years""",3.6,
2013,"data.male,67years""",2.0,
2013,Females,,4.5
2013,Females,00-17 years,6.1
2013,Females,18-24 years,7.6
2013,Females,25-54 years,4.3
2013,Females,55-66 years,2.8
2013,Females,67+ years,2.2
2014,,,4.0
2014,,00-17 years,5.3
2014,,18-24 years,6.0
2014,,25-54 years,3.6
2014,,55-66 years,3.2
2014,,67+ years,2.3
2014,"data.male,"",3.7
2014""","data.male,00-17years""",5.0
2014,"data.male,18-24years""",4.7,
2014,"data.male,25-54years""",3.1,
2014,"data.male,55-66years""",3.7,
2014,"data.male,67years""",2.2,
2014,Females,,4.3
2014,Females,00-17 years,5.6
2014,Females,18-24 years,7.4
2014,Females,25-54 years,4.1
2014,Females,55-66 years,2.8
2014,Females,67+ years,2.3
2015,,,3.8
2015,,00-17 years,5.0
2015,,18-24 years,5.5
2015,,25-54 years,3.6
2015,,55-66 years,3.0
2015,,67+ years,2.1
2015,"data.male,"",3.6
2015""","data.male,00-17years""",4.7
2015,"data.male,18-24years""",4.6,
2015,"data.male,25-54years""",3.2,
2015,"data.male,55-66years""",3.6,
2015,"data.male,67years""",2.2,
2015,Females,,4.1
