Year,Units,Series,Value
1997,pct.,Net official development assistance as a proportion of the gross national income (GNI),0.0
1998,pct.,Net official development assistance as a proportion of the gross national income (GNI),0.002599495697835
1999,pct.,Net official development assistance as a proportion of the gross national income (GNI),0.032432102532804
2000,pct.,Net official development assistance as a proportion of the gross national income (GNI),0.0
2001,pct.,Net official development assistance as a proportion of the gross national income (GNI),0.0
2002,pct.,Net official development assistance as a proportion of the gross national income (GNI),0.028866693608914
2003,pct.,Net official development assistance as a proportion of the gross national income (GNI),0.002928314852413
2004,pct.,Net official development assistance as a proportion of the gross national income (GNI),0.00282262617139
2005,pct.,Net official development assistance as a proportion of the gross national income (GNI),0.056255741319125
2006,pct.,Net official development assistance as a proportion of the gross national income (GNI),0.025651173121189
2006,pct.,Disaster relief as a proportion og GNI,0.002422969753261
2007,pct.,Net official development assistance as a proportion of the gross national income (GNI),0.023868631169983
2007,pct.,Disaster relief as a proportion og GNI,0.004206372271594
2008,pct.,Net official development assistance as a proportion of the gross national income (GNI),0.023016890198045
2008,pct.,Disaster relief as a proportion og GNI,0.002350213085986
2009,pct.,Net official development assistance as a proportion of the gross national income (GNI),0.024863367307916
2009,pct.,Disaster relief as a proportion og GNI,0.002494055833597
2010,pct.,Net official development assistance as a proportion of the gross national income (GNI),0.022250905105627
2010,pct.,Disaster relief as a proportion og GNI,0.002267488001209
2011,pct.,Net official development assistance as a proportion of the gross national income (GNI),0.014141071327564
2011,pct.,Disaster relief as a proportion og GNI,0.002121160699135
2012,pct.,Net official development assistance as a proportion of the gross national income (GNI),0.013490816430537
2012,pct.,Disaster relief as a proportion og GNI,0.003397546971087
2013,pct.,Net official development assistance as a proportion of the gross national income (GNI),0.012608895753869
2013,pct.,Disaster relief as a proportion og GNI,0.003152286984207
2014,pct.,Net official development assistance as a proportion of the gross national income (GNI),0.01481806381251
2014,pct.,Disaster relief as a proportion og GNI,0.0
2015,pct.,Net official development assistance as a proportion of the gross national income (GNI),0.008811368925239
2015,pct.,Disaster relief as a proportion og GNI,0.007060391767018
2016,pct.,Net official development assistance as a proportion of the gross national income (GNI),0.012772958114916
2016,pct.,Disaster relief as a proportion og GNI,0.005109183245966
2017,pct.,Net official development assistance as a proportion of the gross national income (GNI),0.009797198967989
2017,pct.,Disaster relief as a proportion og GNI,0.022233623237022
2018,pct.,Net official development assistance as a proportion of the gross national income (GNI),0.028568662099683
2018,pct.,Disaster relief as a proportion og GNI,0.014523976664811
2019,pct.,Net official development assistance as a proportion of the gross national income (GNI),0.027311137251792
2019,pct.,Disaster relief as a proportion og GNI,0.012336051670434
2020,pct.,Net official development assistance as a proportion of the gross national income (GNI),0.010574820872738
2020,pct.,Disaster relief as a proportion og GNI,0.03067740589802
2021,pct.,Net official development assistance as a proportion of the gross national income (GNI),0.017765173322522
2021,pct.,Disaster relief as a proportion og GNI,0.019501317656598
