Year,measure,party,unit,Value
1984,National parliament,All parties,Proportion of seats held by women,3.1
1984,National parliament,All parties,Seats held by women,1.0
1984,National parliament,All parties,Number of seats,32.0
1988,National parliament,All parties,Proportion of seats held by women,9.4
1988,National parliament,All parties,Seats held by women,3.0
1988,National parliament,All parties,Number of seats,32.0
1990,National parliament,All parties,Proportion of seats held by women,9.4
1990,National parliament,All parties,Seats held by women,3.0
1990,National parliament,All parties,Number of seats,32.0
1992,National parliament,All parties,Proportion of seats held by women,
1992,National parliament,All parties,Seats held by women,
1992,National parliament,All parties,Number of seats,
1994,National parliament,All parties,Proportion of seats held by women,15.6
1994,National parliament,All parties,Seats held by women,5.0
1994,National parliament,All parties,Number of seats,32.0
1996,National parliament,All parties,Proportion of seats held by women,
1996,National parliament,All parties,Seats held by women,
1996,National parliament,All parties,Number of seats,
1998,National parliament,All parties,Proportion of seats held by women,12.5
1998,National parliament,All parties,Seats held by women,4.0
1998,National parliament,All parties,Number of seats,32.0
2000,National parliament,All parties,Proportion of seats held by women,
2000,National parliament,All parties,Seats held by women,
2000,National parliament,All parties,Number of seats,
2002,National parliament,All parties,Proportion of seats held by women,12.5
2002,National parliament,All parties,Seats held by women,4.0
2002,National parliament,All parties,Number of seats,32.0
2004,National parliament,All parties,Proportion of seats held by women,9.4
2004,National parliament,All parties,Seats held by women,3.0
2004,National parliament,All parties,Number of seats,32.0
2008,National parliament,All parties,Proportion of seats held by women,21.2
2008,National parliament,All parties,Seats held by women,7.0
2008,National parliament,All parties,Number of seats,33.0
2011,National parliament,All parties,Proportion of seats held by women,30.3
2011,National parliament,All parties,Seats held by women,10.0
2011,National parliament,All parties,Number of seats,33.0
2012,National parliament,All parties,Proportion of seats held by women,
2012,National parliament,All parties,Seats held by women,
2012,National parliament,All parties,Number of seats,
2015,National parliament,All parties,Proportion of seats held by women,30.3
2015,National parliament,All parties,Seats held by women,10.0
2015,National parliament,All parties,Number of seats,33.0
2016,National parliament,All parties,Proportion of seats held by women,
2016,National parliament,All parties,Seats held by women,
2016,National parliament,All parties,Number of seats,
2019,National parliament,All parties,Proportion of seats held by women,24.2
2019,National parliament,All parties,Seats held by women,8.0
2019,National parliament,All parties,Number of seats,33.0
2020,National parliament,All parties,Proportion of seats held by women,
2020,National parliament,All parties,Seats held by women,
2020,National parliament,All parties,Number of seats,
2022,National parliament,All parties,Proportion of seats held by women,30.3
2022,National parliament,All parties,Seats held by women,10.0
2022,National parliament,All parties,Number of seats,33.0
1984,National parliament,Conservative Party,Proportion of seats held by women,0.0
1984,National parliament,Conservative Party,Seats held by women,0.0
1984,National parliament,Conservative Party,Number of seats,7.0
1988,National parliament,Conservative Party,Proportion of seats held by women,0.0
1988,National parliament,Conservative Party,Seats held by women,0.0
1988,National parliament,Conservative Party,Number of seats,8.0
1990,National parliament,Conservative Party,Proportion of seats held by women,0.0
1990,National parliament,Conservative Party,Seats held by women,0.0
1990,National parliament,Conservative Party,Number of seats,7.0
1992,National parliament,Conservative Party,Proportion of seats held by women,
1992,National parliament,Conservative Party,Seats held by women,
1992,National parliament,Conservative Party,Number of seats,
1994,National parliament,Conservative Party,Proportion of seats held by women,0.0
1994,National parliament,Conservative Party,Seats held by women,0.0
1994,National parliament,Conservative Party,Number of seats,6.0
1996,National parliament,Conservative Party,Proportion of seats held by women,
1996,National parliament,Conservative Party,Seats held by women,
1996,National parliament,Conservative Party,Number of seats,
1998,National parliament,Conservative Party,Proportion of seats held by women,0.0
1998,National parliament,Conservative Party,Seats held by women,0.0
1998,National parliament,Conservative Party,Number of seats,8.0
2000,National parliament,Conservative Party,Proportion of seats held by women,
2000,National parliament,Conservative Party,Seats held by women,
2000,National parliament,Conservative Party,Number of seats,
2002,National parliament,Conservative Party,Proportion of seats held by women,0.0
2002,National parliament,Conservative Party,Seats held by women,0.0
2002,National parliament,Conservative Party,Number of seats,7.0
2004,National parliament,Conservative Party,Proportion of seats held by women,0.0
2004,National parliament,Conservative Party,Seats held by women,0.0
2004,National parliament,Conservative Party,Number of seats,7.0
2008,National parliament,Conservative Party,Proportion of seats held by women,14.3
2008,National parliament,Conservative Party,Seats held by women,1.0
2008,National parliament,Conservative Party,Number of seats,7.0
2011,National parliament,Conservative Party,Proportion of seats held by women,25.0
2011,National parliament,Conservative Party,Seats held by women,2.0
2011,National parliament,Conservative Party,Number of seats,8.0
2012,National parliament,Conservative Party,Proportion of seats held by women,
2012,National parliament,Conservative Party,Seats held by women,
2012,National parliament,Conservative Party,Number of seats,
2015,National parliament,Conservative Party,Proportion of seats held by women,33.3
2015,National parliament,Conservative Party,Seats held by women,2.0
2015,National parliament,Conservative Party,Number of seats,6.0
2016,National parliament,Conservative Party,Proportion of seats held by women,
2016,National parliament,Conservative Party,Seats held by women,
2016,National parliament,Conservative Party,Number of seats,
2019,National parliament,Conservative Party,Proportion of seats held by women,12.5
2019,National parliament,Conservative Party,Seats held by women,1.0
2019,National parliament,Conservative Party,Number of seats,8.0
2020,National parliament,Conservative Party,Proportion of seats held by women,
2020,National parliament,Conservative Party,Seats held by women,
2020,National parliament,Conservative Party,Number of seats,
2022,National parliament,Conservative Party,Proportion of seats held by women,16.7
2022,National parliament,Conservative Party,Seats held by women,1.0
2022,National parliament,Conservative Party,Number of seats,6.0
1984,National parliament,Progress Party,Proportion of seats held by women,0.0
1984,National parliament,Progress Party,Seats held by women,0.0
1984,National parliament,Progress Party,Number of seats,2.0
1988,National parliament,Progress Party,Proportion of seats held by women,
1988,National parliament,Progress Party,Seats held by women,
1988,National parliament,Progress Party,Number of seats,
1990,National parliament,Progress Party,Proportion of seats held by women,
1990,National parliament,Progress Party,Seats held by women,
1990,National parliament,Progress Party,Number of seats,
1992,National parliament,Progress Party,Proportion of seats held by women,
1992,National parliament,Progress Party,Seats held by women,
1992,National parliament,Progress Party,Number of seats,
1994,National parliament,Progress Party,Proportion of seats held by women,
1994,National parliament,Progress Party,Seats held by women,
1994,National parliament,Progress Party,Number of seats,
1996,National parliament,Progress Party,Proportion of seats held by women,
1996,National parliament,Progress Party,Seats held by women,
1996,National parliament,Progress Party,Number of seats,
1998,National parliament,Progress Party,Proportion of seats held by women,
1998,National parliament,Progress Party,Seats held by women,
1998,National parliament,Progress Party,Number of seats,
2000,National parliament,Progress Party,Proportion of seats held by women,
2000,National parliament,Progress Party,Seats held by women,
2000,National parliament,Progress Party,Number of seats,
