Year,Value,Units,Series
2009,-4.71,pct.,Annual growth rate of real GDP per capita
2010,-0.41,pct.,Annual growth rate of real GDP per capita
2011,3.91,pct.,Annual growth rate of real GDP per capita
2012,6.94,pct.,Annual growth rate of real GDP per capita
2013,5.59,pct.,Annual growth rate of real GDP per capita
2014,4.58,pct.,Annual growth rate of real GDP per capita
2015,-0.03,pct.,Annual growth rate of real GDP per capita
2016,0.24,pct.,Annual growth rate of real GDP per capita
2017,2.07,pct.,Annual growth rate of real GDP per capita
2018,1.24,pct.,Annual growth rate of real GDP per capita
2019,2.66,pct.,Annual growth rate of real GDP per capita
2020,-3.53,pct.,Annual growth rate of real GDP per capita
2021,4.11,pct.,Annual growth rate of real GDP per capita
2022,3.95,pct.,Annual growth rate of real GDP per capita
