Year,Value,Units,Series
1998,76.817814582913,pct.,Total
1999,81.049491985742,pct.,Total
2000,80.012825048647,pct.,Total
2001,83.242296626777,pct.,Total
2002,80.10113589192,pct.,Total
2003,77.529655501164,pct.,Total
2004,71.793949976889,pct.,Total
2005,71.634452929648,pct.,Total
2006,77.251876225828,pct.,Total
2007,77.558469649858,pct.,Total
2008,69.746481913731,pct.,Total
2009,65.970815309642,pct.,Total
2010,68.526464437987,pct.,Total
2011,70.638975072216,pct.,Total
2012,70.492903090017,pct.,Total
2013,68.695696551372,pct.,Total
2014,71.990945161009,pct.,Total
2015,76.032629025835,pct.,Total
2016,75.439459830625,pct.,Total
2017,75.536476131853,pct.,Total
2018,70.947764184972,pct.,Total
2019,71.74043497236,pct.,Total
2020,67.870488801946,pct.,Total
2021,71.308135810378,pct.,Total
2022,74.115954802072,pct.,Total
1998,76.8178145829126,,
1999,81.0494919857417,,
2000,80.0128250486467,,
2001,83.2422966267773,,
2002,80.1011358919204,,
2003,77.5296555011642,,
2004,71.7939499768887,,
2005,71.6344529296479,,
2006,77.2518762258279,,
2007,77.5584696498581,,
2008,69.746481913731,,
2009,65.9708153096424,,
2010,68.5264644379871,,
2011,70.6389750722157,,
2012,70.492903090017,,
2013,68.6956965513722,,
2014,71.9909451610095,,
2015,76.0326290258353,,
2016,75.4394598306249,,
2017,75.5364761318532,,
2018,70.9477641849724,,
2019,71.7404349723596,,
2020,67.8704888019462,,
2021,71.308135810378,,
2022,74.115954802072,,
