Year,Units,Series,sex,Value
2003,pct.,Tobacco use,Total,41.0
2004,pct.,Tobacco use,Total,36.0
2005,pct.,Tobacco use,Total,32.0
2006,pct.,Tobacco use,Total,33.0
2006,pct.,Tobacco use,Males,31.0
2006,pct.,Tobacco use,Females,34.0
2007,pct.,Tobacco use,Total,28.0
2007,pct.,Tobacco use,Males,26.0
2007,pct.,Tobacco use,Females,31.0
2008,pct.,Tobacco use,Total,33.0
2008,pct.,Tobacco use,Males,37.0
2008,pct.,Tobacco use,Females,28.0
2009,pct.,Tobacco use,Total,34.0
2009,pct.,Tobacco use,Males,36.0
2009,pct.,Tobacco use,Females,32.0
2010,pct.,Tobacco use,Total,27.0
2010,pct.,Tobacco use,Males,25.0
2010,pct.,Tobacco use,Females,29.0
2011,pct.,Tobacco use,Total,34.0
2011,pct.,Tobacco use,Males,36.0
2011,pct.,Tobacco use,Females,32.0
2012,pct.,Tobacco use,Total,29.0
2012,pct.,Tobacco use,Males,28.0
2012,pct.,Tobacco use,Females,31.0
2013,pct.,Tobacco use,Total,33.0
2013,pct.,Tobacco use,Males,33.0
2013,pct.,Tobacco use,Females,32.0
2014,pct.,Tobacco use,Total,27.0
2014,pct.,Tobacco use,Males,30.0
2014,pct.,Tobacco use,Females,23.0
2015,pct.,Tobacco use,Total,27.0
2015,pct.,Tobacco use,Males,26.0
2015,pct.,Tobacco use,Females,29.0
2016,pct.,Tobacco use,Total,34.0
2016,pct.,Tobacco use,Males,38.0
2016,pct.,Tobacco use,Females,29.0
2017,pct.,Tobacco use,Total,27.0
2017,pct.,Tobacco use,Males,27.0
2017,pct.,Tobacco use,Females,26.0
2018,pct.,Tobacco use,Total,26.0
2018,pct.,Tobacco use,Males,29.0
2018,pct.,Tobacco use,Females,21.0
2019,pct.,Tobacco use,Total,29.0
2019,pct.,Tobacco use,Males,30.0
2019,pct.,Tobacco use,Females,28.0
2020,pct.,Tobacco use,Total,31.0
2020,pct.,Tobacco use,Males,33.0
2020,pct.,Tobacco use,Females,28.0
2021,pct.,Tobacco use,Total,26.0
2021,pct.,Tobacco use,Males,28.0
2021,pct.,Tobacco use,Females,24.0
2022,pct.,Tobacco use,Total,27.0
2022,pct.,Tobacco use,Males,29.0
2022,pct.,Tobacco use,Females,25.0
