Year,Units,Series,sex,Value
2003,pct.,Tobacco use,,41.0
2004,pct.,Tobacco use,,36.0
2005,pct.,Tobacco use,,32.0
2006,pct.,Tobacco use,,33.0
2006,pct.,Tobacco use,Boys,31.0
2006,pct.,Tobacco use,Girls,34.0
2007,pct.,Tobacco use,,28.0
2007,pct.,Tobacco use,Boys,26.0
2007,pct.,Tobacco use,Girls,31.0
2008,pct.,Tobacco use,,33.0
2008,pct.,Tobacco use,Boys,37.0
2008,pct.,Tobacco use,Girls,28.0
2009,pct.,Tobacco use,,34.0
2009,pct.,Tobacco use,Boys,36.0
2009,pct.,Tobacco use,Girls,32.0
2010,pct.,Tobacco use,,27.0
2010,pct.,Tobacco use,Boys,25.0
2010,pct.,Tobacco use,Girls,29.0
2011,pct.,Tobacco use,,34.0
2011,pct.,Tobacco use,Boys,36.0
2011,pct.,Tobacco use,Girls,32.0
2012,pct.,Tobacco use,,29.0
2012,pct.,Tobacco use,Boys,28.0
2012,pct.,Tobacco use,Girls,31.0
2013,pct.,Tobacco use,,33.0
2013,pct.,Tobacco use,Boys,33.0
2013,pct.,Tobacco use,Girls,32.0
2014,pct.,Tobacco use,,27.0
2014,pct.,Tobacco use,Boys,30.0
2014,pct.,Tobacco use,Girls,23.0
2015,pct.,Tobacco use,,27.0
2015,pct.,Tobacco use,Boys,26.0
2015,pct.,Tobacco use,Girls,29.0
2016,pct.,Tobacco use,,34.0
2016,pct.,Tobacco use,Boys,38.0
2016,pct.,Tobacco use,Girls,29.0
2017,pct.,Tobacco use,,27.0
2017,pct.,Tobacco use,Boys,27.0
2017,pct.,Tobacco use,Girls,26.0
2018,pct.,Tobacco use,,26.0
2018,pct.,Tobacco use,Boys,29.0
2018,pct.,Tobacco use,Girls,21.0
2019,pct.,Tobacco use,,29.0
2019,pct.,Tobacco use,Boys,30.0
2019,pct.,Tobacco use,Girls,28.0
2020,pct.,Tobacco use,,31.0
2020,pct.,Tobacco use,Boys,33.0
2020,pct.,Tobacco use,Girls,28.0
2021,pct.,Tobacco use,,26.0
2021,pct.,Tobacco use,Boys,28.0
2021,pct.,Tobacco use,Girls,24.0
2022,pct.,Tobacco use,,27.0
2022,pct.,Tobacco use,Boys,29.0
2022,pct.,Tobacco use,Girls,25.0
